number;study_village;honey_yield_change;less_flowers;bee_disease;herbicides;insecticides;changing_climate;overgrazing;changes in flowering_time;more_pine_martens;poor_beehive_managment;more_hornets;economic_cost;other;dont_know
66;PATM;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;PATM;decrease;1;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
68;PATM;decrease;1;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA
69;PATM;decrease;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
70;PATM;decrease;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
71;PATM;decrease;1;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA
72;PERE;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
73;PERE;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
74;PERE;decrease;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
75;PERE;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
76;PERE;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
77;PERE;decrease;1;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA
78;PERE;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
79;PERE;decrease;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
80;PERE;decrease;1;NA;NA;1;1;NA;NA;1;NA;NA;NA;NA;NA
81;PERE;decrease;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
82;PERE;decrease;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
83;PERE;decrease;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
84;RINI;decrease;1;NA;1;1;NA;NA;NA;NA;NA;1;NA;NA;NA
85;RINI;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
86;RINI;decrease;NA;1;NA;1;1;NA;NA;NA;1;NA;NA;NA;NA
87;RINI;decrease;NA;NA;NA;1;1;NA;NA;NA;1;NA;NA;NA;NA
88;RINI;decrease;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
89;RINI;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
90;RINI;decrease;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;RINI;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
92;RINI;decrease;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
93;RINI;decrease;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
94;RINI;decrease;1;1;1;1;1;NA;1;NA;NA;NA;NA;NA;NA
95;RINI;decrease;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
96;RINI;increase;1;NA;NA;1;NA;NA;NA;NA;NA;NA;1;NA;NA
97;RINI;decrease;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
98;TIRK;decrease;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
99;TIRK;decrease;1;NA;NA;1;1;NA;NA;NA;NA;1;NA;NA;NA
100;TIRK;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1
101;TIRK;decrease;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
102;TIRK;decrease;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
103;TIRK;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;TIRK;decrease;1;1;NA;NA;1;NA;NA;NA;1;NA;NA;NA;NA
105;TIRK;decrease;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
106;TIRK;decrease;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;TIRK;dont_know;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA
108;URTH;decrease;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;1;NA
109;URTH;decrease;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
110;URTH;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
111;URTH;decrease;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
112;URTH;decrease;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
113;URTH;dont_know;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA
114;URTH;increase;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
115;URTH;decrease;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA
116;URTH;decrease;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
