number;study_village;livelihood_affected;loss_of_income;loss_for_own_consumption;loss_beewax;decrease_crop_quality;decrease_in_crop_yield;other;not_affected_other_income;not_affected_sufficient_beehives ;not_affected_sufficient_beehives ;not_affected_pollinator-dependent_crops;not_affected_other_farming;not_affected_never_benefits_beekeeping;not_affected_other;livelihood.not_affected_other_reasons
17;CHUM;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
18;CHUM;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;CHUM;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20;CHUM;yes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;GADI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
22;GADI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
23;GADI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
24;GADI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
25;GADI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
26;GADI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
27;GADI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
28;GADI;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
29;GADI;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;GADI;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
31;GADI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
32;GADI;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
33;GADI;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;GADI;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;GADI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
36;LORP;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
37;LORP;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
38;LORP;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
39;LORP;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
40;LORP;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;LORP;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
42;LORP;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
43;LORP;yes;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
44;LORP;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
45;LORP;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
46;LORP;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
47;LUMA;yes;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;LUMA;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
49;LUMA;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
50;LUMA;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;LUMA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
52;LUMA;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
53;LUMA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;LUMA;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
55;LUMA;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
56;LUMA;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
57;LUMA;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
58;LUMA;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;i have enough food too feed ourself
59;LUMA;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
60;LUMA;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
61;LUMA;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;i have enough to feed my family
62;PATM;yes;1;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
63;PATM;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
64;PATM;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
65;PATM;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
66;PATM;yes;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;PATM;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
68;PATM;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
69;PATM;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
70;PATM;yes;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
71;PATM;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
72;PERE;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
73;PERE;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
74;PERE;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
75;PERE;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
76;PERE;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
77;PERE;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
78;PERE;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
79;PERE;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
80;PERE;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
81;PERE;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
82;PERE;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
83;PERE;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
84;RINI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
85;RINI;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
86;RINI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
87;RINI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
88;RINI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
89;RINI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;i have 6 ropani to feed themself and sell to others
90;RINI;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
91;RINI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
92;RINI;yes;1;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
93;RINI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
94;RINI;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95;RINI;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96;RINI;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
97;RINI;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
98;TIRK;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
99;TIRK;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
100;TIRK;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
101;TIRK;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
102;TIRK;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
103;TIRK;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
104;TIRK;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
105;TIRK;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
106;TIRK;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
107;TIRK;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
108;URTH;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;1;son and daughter in law have job
109;URTH;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
110;URTH;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
111;URTH;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
112;URTH;yes;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
113;URTH;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
114;URTH;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
115;URTH;yes;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
116;URTH;no;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA
